#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"LicenseManager","System.ServiceProcess.ServiceController[]","False","False","True","Windows License Manager Service","System.ServiceProcess.ServiceController[]",".","LicenseManager","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"lltdsvc","System.ServiceProcess.ServiceController[]","False","False","False","Link-Layer Topology Discovery Mapper","System.ServiceProcess.ServiceController[]",".","lltdsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"lmhosts","System.ServiceProcess.ServiceController[]","False","False","True","TCP/IP NetBIOS Helper","System.ServiceProcess.ServiceController[]",".","lmhosts","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LMIGuardianSvc","System.ServiceProcess.ServiceController[]","False","False","True","LMIGuardianSvc","System.ServiceProcess.ServiceController[]",".","LMIGuardianSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"LMIMaint","System.ServiceProcess.ServiceController[]","False","False","False","LogMeIn Maintenance Service","System.ServiceProcess.ServiceController[]",".","LMIMaint","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Disabled",,
"LogMeIn","System.ServiceProcess.ServiceController[]","False","False","False","LogMeIn","System.ServiceProcess.ServiceController[]",".","LogMeIn","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Disabled",,
"LSM","System.ServiceProcess.ServiceController[]","False","False","False","Local Session Manager","System.ServiceProcess.ServiceController[]",".","LSM","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LxpSvc","System.ServiceProcess.ServiceController[]","False","False","False","Language Experience Service","System.ServiceProcess.ServiceController[]",".","LxpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"MapsBroker","System.ServiceProcess.ServiceController[]","False","False","False","Downloaded Maps Manager","System.ServiceProcess.ServiceController[]",".","MapsBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"MBAMService","System.ServiceProcess.ServiceController[]","False","False","False","Malwarebytes Service","System.ServiceProcess.ServiceController[]",".","MBAMService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"MessagingService_9f968","System.ServiceProcess.ServiceController[]","False","False","False","MessagingService_9f968","System.ServiceProcess.ServiceController[]",".","MessagingService_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"MicrosoftEdgeElevationService","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Elevation Service","System.ServiceProcess.ServiceController[]",".","MicrosoftEdgeElevationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"MozillaMaintenance","System.ServiceProcess.ServiceController[]","False","False","False","Mozilla Maintenance Service","System.ServiceProcess.ServiceController[]",".","MozillaMaintenance","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"mpssvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Defender Firewall","System.ServiceProcess.ServiceController[]",".","mpssvc","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"MSDTC","System.ServiceProcess.ServiceController[]","False","False","False","Distributed Transaction Coordinator","System.ServiceProcess.ServiceController[]",".","MSDTC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"MsDtsServer140","System.ServiceProcess.ServiceController[]","False","True","True","SQL Server Integration Services 14.0","System.ServiceProcess.ServiceController[]",".","MsDtsServer140","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"MSiSCSI","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft iSCSI Initiator Service","System.ServiceProcess.ServiceController[]",".","MSiSCSI","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"msiserver","System.ServiceProcess.ServiceController[]","False","False","False","Windows Installer","System.ServiceProcess.ServiceController[]",".","msiserver","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"MsMpiLaunchSvc","System.ServiceProcess.ServiceController[]","False","False","False","MS-MPI Launch Service","System.ServiceProcess.ServiceController[]",".","MsMpiLaunchSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"MSOLAP$SEANPC","System.ServiceProcess.ServiceController[]","True","False","True","SQL Server Analysis Services (SEANPC)","System.ServiceProcess.ServiceController[]",".","MSOLAP$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"MSSQL$SEANPC","System.ServiceProcess.ServiceController[]","True","True","True","SQL Server (SEANPC)","System.ServiceProcess.ServiceController[]",".","MSSQL$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"MSSQLFDLauncher$SEANPC","System.ServiceProcess.ServiceController[]","False","True","True","SQL Full-text Filter Daemon Launcher (SEANPC)","System.ServiceProcess.ServiceController[]",".","MSSQLFDLauncher$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"MSSQLLaunchpad$SEANPC","System.ServiceProcess.ServiceController[]","False","True","True","SQL Server Launchpad (SEANPC)","System.ServiceProcess.ServiceController[]",".","MSSQLLaunchpad$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"MSSQLSERVER","System.ServiceProcess.ServiceController[]","True","True","True","SQL Server (MSSQLSERVER)","System.ServiceProcess.ServiceController[]",".","MSSQLSERVER","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"NaturalAuthentication","System.ServiceProcess.ServiceController[]","False","False","False","Natural Authentication","System.ServiceProcess.ServiceController[]",".","NaturalAuthentication","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"NcaSvc","System.ServiceProcess.ServiceController[]","False","False","False","Network Connectivity Assistant","System.ServiceProcess.ServiceController[]",".","NcaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NcbService","System.ServiceProcess.ServiceController[]","False","False","True","Network Connection Broker","System.ServiceProcess.ServiceController[]",".","NcbService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NcdAutoSetup","System.ServiceProcess.ServiceController[]","False","False","True","Network Connected Devices Auto-Setup","System.ServiceProcess.ServiceController[]",".","NcdAutoSetup","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Netlogon","System.ServiceProcess.ServiceController[]","False","False","False","Netlogon","System.ServiceProcess.ServiceController[]",".","Netlogon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Netman","System.ServiceProcess.ServiceController[]","False","False","False","Network Connections","System.ServiceProcess.ServiceController[]",".","Netman","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"netprofm","System.ServiceProcess.ServiceController[]","False","False","True","Network List Service","System.ServiceProcess.ServiceController[]",".","netprofm","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NetSetupSvc","System.ServiceProcess.ServiceController[]","False","False","True","Network Setup Service","System.ServiceProcess.ServiceController[]",".","NetSetupSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NetTcpPortSharing","System.ServiceProcess.ServiceController[]","False","False","False","Net.Tcp Port Sharing Service","System.ServiceProcess.ServiceController[]",".","NetTcpPortSharing","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"NgcCtnrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Passport Container","System.ServiceProcess.ServiceController[]",".","NgcCtnrSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NgcSvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Passport","System.ServiceProcess.ServiceController[]",".","NgcSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NlaSvc","System.ServiceProcess.ServiceController[]","False","False","True","Network Location Awareness","System.ServiceProcess.ServiceController[]",".","NlaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"nsi","System.ServiceProcess.ServiceController[]","False","False","True","Network Store Interface Service","System.ServiceProcess.ServiceController[]",".","nsi","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"nvagent","System.ServiceProcess.ServiceController[]","False","True","True","Network Virtualization Service","System.ServiceProcess.ServiceController[]",".","nvagent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"OneSyncSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","True","OneSyncSvc_9f968","System.ServiceProcess.ServiceController[]",".","OneSyncSvc_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Automatic",,
"ose64","System.ServiceProcess.ServiceController[]","False","False","False","Office 64 Source Engine","System.ServiceProcess.ServiceController[]",".","ose64","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"p2pimsvc","System.ServiceProcess.ServiceController[]","False","False","False","Peer Networking Identity Manager","System.ServiceProcess.ServiceController[]",".","p2pimsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"p2psvc","System.ServiceProcess.ServiceController[]","False","False","False","Peer Networking Grouping","System.ServiceProcess.ServiceController[]",".","p2psvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PcaSvc","System.ServiceProcess.ServiceController[]","False","True","True","Program Compatibility Assistant Service","System.ServiceProcess.ServiceController[]",".","PcaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"PeerDistSvc","System.ServiceProcess.ServiceController[]","False","False","False","BranchCache","System.ServiceProcess.ServiceController[]",".","PeerDistSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"perceptionsimulation","System.ServiceProcess.ServiceController[]","False","False","False","Windows Perception Simulation Service","System.ServiceProcess.ServiceController[]",".","perceptionsimulation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"PerfHost","System.ServiceProcess.ServiceController[]","False","False","False","Performance Counter DLL Host","System.ServiceProcess.ServiceController[]",".","PerfHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"PhoneSvc","System.ServiceProcess.ServiceController[]","False","False","True","Phone Service","System.ServiceProcess.ServiceController[]",".","PhoneSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"PimIndexMaintenanceSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","True","PimIndexMaintenanceSvc_9f968","System.ServiceProcess.ServiceController[]",".","PimIndexMaintenanceSvc_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Manual",,
"pla","System.ServiceProcess.ServiceController[]","False","False","False","Performance Logs & Alerts","System.ServiceProcess.ServiceController[]",".","pla","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PlexUpdateService","System.ServiceProcess.ServiceController[]","False","False","True","Plex Update Service","System.ServiceProcess.ServiceController[]",".","PlexUpdateService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"PlugPlay","System.ServiceProcess.ServiceController[]","False","True","True","Plug and Play","System.ServiceProcess.ServiceController[]",".","PlugPlay","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"PNRPAutoReg","System.ServiceProcess.ServiceController[]","False","False","False","PNRP Machine Name Publication Service","System.ServiceProcess.ServiceController[]",".","PNRPAutoReg","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PNRPsvc","System.ServiceProcess.ServiceController[]","False","False","False","Peer Name Resolution Protocol","System.ServiceProcess.ServiceController[]",".","PNRPsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PolicyAgent","System.ServiceProcess.ServiceController[]","False","True","True","IPsec Policy Agent","System.ServiceProcess.ServiceController[]",".","PolicyAgent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Power","System.ServiceProcess.ServiceController[]","False","False","False","Power","System.ServiceProcess.ServiceController[]",".","Power","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"PrintNotify","System.ServiceProcess.ServiceController[]","False","False","False","Printer Extensions and Notifications","System.ServiceProcess.ServiceController[]",".","PrintNotify","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess, InteractiveProcess","Manual",,
"PrintWorkflowUserSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","False","PrintWorkflowUserSvc_9f968","System.ServiceProcess.ServiceController[]",".","PrintWorkflowUserSvc_9f968","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"ProfSvc","System.ServiceProcess.ServiceController[]","False","True","True","User Profile Service","System.ServiceProcess.ServiceController[]",".","ProfSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"PushToInstall","System.ServiceProcess.ServiceController[]","False","False","False","Windows PushToInstall Service","System.ServiceProcess.ServiceController[]",".","PushToInstall","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"QWAVE","System.ServiceProcess.ServiceController[]","False","True","True","Quality Windows Audio Video Experience","System.ServiceProcess.ServiceController[]",".","QWAVE","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"RasAuto","System.ServiceProcess.ServiceController[]","False","False","False","Remote Access Auto Connection Manager","System.ServiceProcess.ServiceController[]",".","RasAuto","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"RasMan","System.ServiceProcess.ServiceController[]","False","True","True","Remote Access Connection Manager","System.ServiceProcess.ServiceController[]",".","RasMan","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"RemoteAccess","System.ServiceProcess.ServiceController[]","False","False","False","Routing and Remote Access","System.ServiceProcess.ServiceController[]",".","RemoteAccess","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"RemoteRegistry","System.ServiceProcess.ServiceController[]","False","False","False","Remote Registry","System.ServiceProcess.ServiceController[]",".","RemoteRegistry","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"RetailDemo","System.ServiceProcess.ServiceController[]","False","False","False","Retail Demo Service","System.ServiceProcess.ServiceController[]",".","RetailDemo","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"RmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Radio Management Service","System.ServiceProcess.ServiceController[]",".","RmSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"RpcEptMapper","System.ServiceProcess.ServiceController[]","False","False","False","RPC Endpoint Mapper","System.ServiceProcess.ServiceController[]",".","RpcEptMapper","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"RpcLocator","System.ServiceProcess.ServiceController[]","False","False","False","Remote Procedure Call (RPC) Locator","System.ServiceProcess.ServiceController[]",".","RpcLocator","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"RpcSs","System.ServiceProcess.ServiceController[]","False","False","False","Remote Procedure Call (RPC)","System.ServiceProcess.ServiceController[]",".","RpcSs","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"SamSs","System.ServiceProcess.ServiceController[]","False","False","False","Security Accounts Manager","System.ServiceProcess.ServiceController[]",".","SamSs","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"SCardSvr","System.ServiceProcess.ServiceController[]","False","False","False","Smart Card","System.ServiceProcess.ServiceController[]",".","SCardSvr","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ScDeviceEnum","System.ServiceProcess.ServiceController[]","False","False","False","Smart Card Device Enumeration Service","System.ServiceProcess.ServiceController[]",".","ScDeviceEnum","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"Schedule","System.ServiceProcess.ServiceController[]","False","True","True","Task Scheduler","System.ServiceProcess.ServiceController[]",".","Schedule","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"SCPolicySvc","System.ServiceProcess.ServiceController[]","False","False","False","Smart Card Removal Policy","System.ServiceProcess.ServiceController[]",".","SCPolicySvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"SDRSVC","System.ServiceProcess.ServiceController[]","False","False","False","Windows Backup","System.ServiceProcess.ServiceController[]",".","SDRSVC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SDScannerService","System.ServiceProcess.ServiceController[]","True","True","True","Spybot-S&D 2 Scanner Service","System.ServiceProcess.ServiceController[]",".","SDScannerService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SDUpdateService","System.ServiceProcess.ServiceController[]","True","True","True","Spybot-S&D 2 Updating Service","System.ServiceProcess.ServiceController[]",".","SDUpdateService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SDWSCService","System.ServiceProcess.ServiceController[]","False","True","True","Spybot-S&D 2 Security Center Service","System.ServiceProcess.ServiceController[]",".","SDWSCService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"seclogon","System.ServiceProcess.ServiceController[]","False","False","False","Secondary Logon","System.ServiceProcess.ServiceController[]",".","seclogon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"SecurityHealthService","System.ServiceProcess.ServiceController[]","False","False","False","Windows Security Service","System.ServiceProcess.ServiceController[]",".","SecurityHealthService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"SEMgrSvc","System.ServiceProcess.ServiceController[]","False","False","True","Payments and NFC/SE Manager","System.ServiceProcess.ServiceController[]",".","SEMgrSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"SENS","System.ServiceProcess.ServiceController[]","False","False","True","System Event Notification Service","System.ServiceProcess.ServiceController[]",".","SENS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Sense","System.ServiceProcess.ServiceController[]","False","False","False","Windows Defender Advanced Threat Protection Service","System.ServiceProcess.ServiceController[]",".","Sense","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SensorDataService","System.ServiceProcess.ServiceController[]","False","False","False","Sensor Data Service","System.ServiceProcess.ServiceController[]",".","SensorDataService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SensorService","System.ServiceProcess.ServiceController[]","False","False","False","Sensor Service","System.ServiceProcess.ServiceController[]",".","SensorService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"SensrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Sensor Monitoring Service","System.ServiceProcess.ServiceController[]",".","SensrSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Service KMSELDI","System.ServiceProcess.ServiceController[]","False","True","True","Service KMSELDI","System.ServiceProcess.ServiceController[]",".","Service KMSELDI","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SessionEnv","System.ServiceProcess.ServiceController[]","False","False","True","Remote Desktop Configuration","System.ServiceProcess.ServiceController[]",".","SessionEnv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"SgrmBroker","System.ServiceProcess.ServiceController[]","False","True","False","System Guard Runtime Monitor Broker","System.ServiceProcess.ServiceController[]",".","SgrmBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SharedAccess","System.ServiceProcess.ServiceController[]","False","False","True","Internet Connection Sharing (ICS)","System.ServiceProcess.ServiceController[]",".","SharedAccess","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"SharedRealitySvc","System.ServiceProcess.ServiceController[]","False","False","False","Spatial Data Service","System.ServiceProcess.ServiceController[]",".","SharedRealitySvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"ShellHWDetection","System.ServiceProcess.ServiceController[]","False","False","True","Shell Hardware Detection","System.ServiceProcess.ServiceController[]",".","ShellHWDetection","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"shpamsvc","System.ServiceProcess.ServiceController[]","False","False","False","Shared PC Account Manager","System.ServiceProcess.ServiceController[]",".","shpamsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"smphost","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Storage Spaces SMP","System.ServiceProcess.ServiceController[]",".","smphost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SmsRouter","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Windows SMS Router Service.","System.ServiceProcess.ServiceController[]",".","SmsRouter","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"SNMPTRAP","System.ServiceProcess.ServiceController[]","False","False","False","SNMP Trap","System.ServiceProcess.ServiceController[]",".","SNMPTRAP","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"spectrum","System.ServiceProcess.ServiceController[]","False","False","False","Windows Perception Service","System.ServiceProcess.ServiceController[]",".","spectrum","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"Spooler","System.ServiceProcess.ServiceController[]","False","False","True","Print Spooler","System.ServiceProcess.ServiceController[]",".","Spooler","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, InteractiveProcess","Automatic",,
"sppsvc","System.ServiceProcess.ServiceController[]","False","False","False","Software Protection","System.ServiceProcess.ServiceController[]",".","sppsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Automatic",,
"SQL Server Distributed Replay Client","System.ServiceProcess.ServiceController[]","False","False","False","SQL Server Distributed Replay Client","System.ServiceProcess.ServiceController[]",".","SQL Server Distributed Replay Client","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SQL Server Distributed Replay Controller","System.ServiceProcess.ServiceController[]","False","False","False","SQL Server Distributed Replay Controller","System.ServiceProcess.ServiceController[]",".","SQL Server Distributed Replay Controller","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SQLAgent$SEANPC","System.ServiceProcess.ServiceController[]","False","False","False","SQL Server Agent (SEANPC)","System.ServiceProcess.ServiceController[]",".","SQLAgent$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SQLBrowser","System.ServiceProcess.ServiceController[]","True","True","True","SQL Server Browser","System.ServiceProcess.ServiceController[]",".","SQLBrowser","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SQLPBDMS$SEANPC","System.ServiceProcess.ServiceController[]","False","False","False","SQL Server PolyBase Data Movement (SEANPC)","System.ServiceProcess.ServiceController[]",".","SQLPBDMS$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"SQLPBENGINE$SEANPC","System.ServiceProcess.ServiceController[]","False","False","False","SQL Server PolyBase Engine (SEANPC)","System.ServiceProcess.ServiceController[]",".","SQLPBENGINE$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"SQLSERVERAGENT","System.ServiceProcess.ServiceController[]","False","False","False","SQL Server Agent (MSSQLSERVER)","System.ServiceProcess.ServiceController[]",".","SQLSERVERAGENT","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SQLTELEMETRY","System.ServiceProcess.ServiceController[]","False","True","True","SQL Server CEIP service (MSSQLSERVER)","System.ServiceProcess.ServiceController[]",".","SQLTELEMETRY","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SQLTELEMETRY$SEANPC","System.ServiceProcess.ServiceController[]","False","True","True","SQL Server CEIP service (SEANPC)","System.ServiceProcess.ServiceController[]",".","SQLTELEMETRY$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SQLWriter","System.ServiceProcess.ServiceController[]","False","True","True","SQL Server VSS Writer","System.ServiceProcess.ServiceController[]",".","SQLWriter","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SSASTELEMETRY$SEANPC","System.ServiceProcess.ServiceController[]","False","True","True","SQL Server Analysis Services CEIP (SEANPC)","System.ServiceProcess.ServiceController[]",".","SSASTELEMETRY$SEANPC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SSDPSRV","System.ServiceProcess.ServiceController[]","False","True","True","SSDP Discovery","System.ServiceProcess.ServiceController[]",".","SSDPSRV","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"ssh-agent","System.ServiceProcess.ServiceController[]","False","False","False","OpenSSH Authentication Agent","System.ServiceProcess.ServiceController[]",".","ssh-agent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Disabled",,
